0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-123.94298,42.458675,-57.280426,3.3311112,-11.93217,15.8720045,-23.542,1.8097396,-5.7216063,6.513091,4.5102,2.0413551,-8.05742,8.20565,-7.7520466,8.193201,-5.5788403,-4.8903193,-4.6592555,-0.4223097
-312.47122,24.574196,-16.617857,23.680506,-8.780932,4.653341,4.5632606,15.792068,8.41963,3.7873337,0.8990565,3.986943,-2.2510183,1.6400589,3.2563283,5.82877,0.5581433,4.3329215,1.208117,3.7006717
-611.93005,23.566566,1.9839796,1.1277235,1.3525542,1.1702725,-0.4722303,-0.54221386,-0.5756568,0.48210442,-1.1518304,-0.6303908,-0.7076085,-0.18272677,-0.12467774,-0.12251838,-1.1441298,-0.85796964,-1.0879385,-0.21934687
-485.09,-25.278297,-17.723055,30.205801,-33.27651,-27.49594,-1.5752225,31.357601,19.05269,17.284983,11.982416,-1.8506192,-9.401621,21.083708,12.125547,-0.22341946,-2.200822,15.491525,-2.072523,-7.6232724
-498.49252,38.597286,-72.86905,-49.7596,-11.203028,2.1649852,-15.3913965,-4.2333984,-12.027416,-4.6242633,1.392057,-3.501007,-3.0801454,6.3657336,-2.003693,-4.0957046,-2.0614798,0.50534165,-3.6943097,0.67106926
-351.60437,53.0435,-118.57134,-54.291885,0.102344655,-3.7079058,-21.462276,-5.3628154,-11.417207,3.3842626,1.8537691,-11.674102,-7.245123,1.4640383,-6.2638288,2.8443882,6.5621767,1.3064187,-5.057052,4.4016232
-447.49588,44.255306,-37.57106,-26.442568,-10.664217,-13.981501,-5.8318553,0.2771386,-3.3576112,-1.5990195,-4.0969176,-3.6833403,-2.5519235,0.007850682,-0.09996766,2.2049134,0.1497895,1.6597546,-0.38674054,-0.50336236
-244.20724,140.76442,-52.583015,-53.086384,-39.375923,-31.05286,-41.032955,-23.822803,-22.006395,-25.022514,-30.497795,-12.56311,-12.555164,-9.903405,-12.88863,-4.450528,-4.461925,-1.935472,-2.5906599,5.7124867
-641.3035,56.039455,0.46004254,8.690299,4.161103,10.961553,4.103946,5.997622,0.41408756,-0.0118356105,2.1716795,2.9231217,1.7233721,2.871693,-0.26510617,2.029909,0.3772808,-0.4936129,-3.3813777,-1.8365511
-605.2392,-87.53514,13.6027355,9.410651,12.192168,-18.068321,-2.1510897,10.176502,2.4084716,-6.269797,-5.887279,10.429073,-0.3542619,-6.1021967,2.6539905,-0.92047083,1.871727,3.8293488,-10.607018,4.598059
-350.05237,61.770443,47.39697,57.126072,-50.019028,49.39139,-21.044973,2.9399283,-1.5289702,6.615311,9.557511,15.713553,22.867693,6.328653,22.223274,6.1803393,13.311672,2.1200411,5.354491,0.2604695
